Order ID,Net Sales,Orders,Sessions,Product,Date
#10231,189.99,1,42,Insulated Trail Jacket,2025-01-04
#10232,124.50,1,38,Hiking Footwear - Trailblazer,2025-01-04
#10233,310.00,1,55,Insulated Trail Jacket,2025-01-05
#10234,89.99,1,29,Wool Base Layer,2025-01-05
#10235,210.00,1,47,Insulated Trail Jacket,2025-01-06
#10236,145.00,1,33,Hiking Footwear - Trailblazer,2025-01-06
#10237,275.00,1,51,Insulated Trail Jacket,2025-01-07
#10238,99.99,1,26,Wool Base Layer,2025-01-07
#10239,320.00,1,58,Insulated Trail Jacket,2025-01-08
#10240,159.99,1,35,Hiking Footwear - Trailblazer,2025-01-08
